created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 18 23:08:12 +0000 2023;1714780448088637786;"@KakekHalal Ganjar Mahfud....Ga-Mud....😂😂";0;0;0;0;in;1102960516832550912;1714486874319061392;AbanggSayur;https://twitter.com/AbanggSayur/status/1714780448088637786
Wed Oct 18 23:08:06 +0000 2023;1714780422205550860;"@79_two Sepertinya pendukung Ganjar jadi lega dgn terpilihnya Prof Mahfud jadi wakil Ganjar. Mrk skrg hny mengamati langkah Gibran apakah dia beneran JD CAWAPRES PS or gak. Klo ya, nama baik Jokowi jadi taruhannya, akan terjungkal ke dasar jurang klo itu terjadi.💔😭";1;0;0;2;in;1307593189302218752;1714591669839110590;Yani03495310;https://twitter.com/Yani03495310/status/1714780422205550860
Wed Oct 18 23:08:05 +0000 2023;1714780416476062160;"@KataNadiaaa Ganjar - Mahfud akan menegakkan Refornasi hukum di Indonesia. Hukum UU tak kan bs di permainkan lg.Bcause Pak Mahfud adlh ahli hukum yg sngt mempuni. Smg paman bs ttp tidur nyenyak";0;0;0;1;in;1039057003;1714658457520066930;xojngn;https://twitter.com/xojngn/status/1714780416476062160
Wed Oct 18 23:07:59 +0000 2023;1714780393596235915;"@kiki_daliyo @ganjarpranowo @mohmahfudmd Kawal terus Pasangan terbaik Ganjar Mahfud untuk mewujudkan Indonesia yang lebih baik, maju dan sejahtera 💪";0;0;0;0;in;1708619643165061120;1714484061396447629;alisadevina;https://twitter.com/alisadevina/status/1714780393596235915
Wed Oct 18 23:07:49 +0000 2023;1714780352395506048;"@islah_bahrawi mahfud jadi wapres sama seperti  mbah amin dijadikan pajangan.. yg berkuasa tetap org seperti lht yg menjadikan presiden boneka. krn presidennya yg bodoh sehingga dikendalikan org2 licik.";0;0;0;0;in;1605513121682313217;1714541762906382758;JohnJontra;https://twitter.com/JohnJontra/status/1714780352395506048
Wed Oct 18 23:07:45 +0000 2023;1714780333978321267;"@GeiszChalifah Abang menyimak apa yang didoakan TGB waktu deklarasi Ganjar Pranowo dan Mahfud MD. Saya yang salah dengar atau memang benar adanya dari keduanya semuanya didoakan menjadi Capres. Coba didengar ulang.";0;0;0;0;in;1416984367436492808;1714771163367575806;AbuRamdan6;https://twitter.com/AbuRamdan6/status/1714780333978321267
Wed Oct 18 23:07:43 +0000 2023;1714780325350666716;"@rayhan_attarr ganjar mahfud, bisa disingkat gamud😎😎😎";0;1;0;0;in;1216611403374530562;1714665390394184177;kecextampan;https://twitter.com/kecextampan/status/1714780325350666716
Wed Oct 18 23:07:40 +0000 2023;1714780314080563596;"@ganjarpranowo @mohmahfudmd Makin yakin demgan ini Ganjar Mahfud bisa ambil kemenangn di pilpres ini";0;0;0;0;in;1657962385632788481;1714509571082060219;naurazahrani24;https://twitter.com/naurazahrani24/status/1714780314080563596
Wed Oct 18 23:07:27 +0000 2023;1714780258573180956;"@Om_Gilangg @GunRomli Ganjar punya uang?mahfud udah bilang ga keluar uang";0;0;0;0;in;1604339184113631233;1714578593098154217;ikipakdhekowe;https://twitter.com/ikipakdhekowe/status/1714780258573180956
Wed Oct 18 23:07:23 +0000 2023;1714780240764182991;"Gaspoll Ganjar dan Mahfud MD https://t.co/Gwwzs7ZqVA";0;0;0;0;in;1451858184809844739;1714780240764182991;nelta_putri3;https://twitter.com/nelta_putri3/status/1714780240764182991
Wed Oct 18 23:07:13 +0000 2023;1714780200205189554;"Akhirnya Sah! Deklarasi Mahfud MD Resmi Jadi Calon Wakil Presiden Ganjar Pranowo https://t.co/wQLQ52Wa9z";0;0;0;0;in;1693325141030445056;1714780200205189554;fajarnusanew;https://twitter.com/fajarnusanew/status/1714780200205189554
Wed Oct 18 23:07:09 +0000 2023;1714780182085861471;"Ganjar-Mahfud paling Pas https://t.co/KYIXVlMlJL";0;0;4;9;in;1375108158633336837;1714779350636413244;p4rwaty_rizky;https://twitter.com/p4rwaty_rizky/status/1714780182085861471
Wed Oct 18 23:06:55 +0000 2023;1714780125643063332;"Memang wajib dikawal nih pasangan dan duet terbaik Ganjar Mahfud, ORANG BAIK PILIH ORANG BAIK";0;0;0;0;in;1701805789088976896;1714780125643063332;jordihelooo;https://twitter.com/jordihelooo/status/1714780125643063332
Wed Oct 18 23:06:53 +0000 2023;1714780115698401497;"@kiki_daliyo @ganjarpranowo @mohmahfudmd Wujudkan Indonesia Emas bersama pasangan terbaik Ganjar Mahfud untuk Pilpres 2024";0;0;0;0;in;1707866232635195392;1714484061396447629;virlianisalam;https://twitter.com/virlianisalam/status/1714780115698401497
Wed Oct 18 23:06:52 +0000 2023;1714780112208769328;"@PandamPamungkas Pak Ganjar Mahfud jaya jaya";0;0;0;0;in;1555493895319957505;1714491068849520895;NurulWi60827689;https://twitter.com/NurulWi60827689/status/1714780112208769328
Wed Oct 18 23:06:46 +0000 2023;1714780086560592158;"@Prihati_utami Kepemimpinan tegas mereka memastikan bahwa tidak ada ruang bagi korupsi dan penyalahgunaan kekuasaan. Ganjar Mahfud";0;0;0;0;in;1524295306149474304;1714485072139805048;ZBudiningtyas;https://twitter.com/ZBudiningtyas/status/1714780086560592158
Wed Oct 18 23:06:46 +0000 2023;1714780086099140617;"@B1nt4ng_K1r4r4 @kiki_daliyo @ganjarpranowo @mohmahfudmd Bersiap-siaplah para perampok para koruptor menghadapi Ganjar Mahfud";0;0;0;0;in;1702227273531977728;1714484061396447629;yulitamant79021;https://twitter.com/yulitamant79021/status/1714780086099140617
Wed Oct 18 23:06:45 +0000 2023;1714780084274704680;"Ganjar Mahfud untuk Indonesia maju";0;0;0;1;in;1655369966454206464;1714780084274704680;arrysa20;https://twitter.com/arrysa20/status/1714780084274704680
Wed Oct 18 23:06:40 +0000 2023;1714780062724300927;"@ganjarpranowo @mohmahfudmd Ganjar Mahfud pasti bisa satu putaran untuk suarakan rakyat sejahtera";0;0;0;0;in;1656927354000908288;1714509571082060219;silmi2407;https://twitter.com/silmi2407/status/1714780062724300927
Wed Oct 18 23:06:37 +0000 2023;1714780050367938929;"Hary Tanoe Yakin Mahfud Bisa Gaet Suara NU di Pilpres 2024 https://t.co/fGEPmPGAjp";0;0;0;0;in;388190238;1714780050367938929;IDNTimes;https://twitter.com/IDNTimes/status/1714780050367938929
Wed Oct 18 23:06:27 +0000 2023;1714780007967629775;"Gaspoll Ganjar dan Mahfud MD https://t.co/jQYc7IbzD7";0;0;0;0;in;1626503451315142658;1714780007967629775;geishaputri93;https://twitter.com/geishaputri93/status/1714780007967629775
Wed Oct 18 23:06:27 +0000 2023;1714780005862117637;"@Paltiwest Pak mahput gk usah kampanya pun dah kreen siapa gk kenal p.mahfud dan sepak terjangnya yg positip tuk NKRI klop lah udah GP MAHFUD";0;0;0;2;in;1305141635991306240;1714590702859178246;Soewarn21036904;https://twitter.com/Soewarn21036904/status/1714780005862117637
Wed Oct 18 23:06:21 +0000 2023;1714779983477141969;"pak mahfud md ini md-nya entertainment";0;0;0;0;in;491846440;1714779983477141969;urdafucky;https://twitter.com/urdafucky/status/1714779983477141969
Wed Oct 18 23:06:15 +0000 2023;1714779955618578611;"Terpopuler: BPS Sebut RI Rutin Impor Barang dari Israel, Cawapres Ganjar Pranowo-Mahfud MD Pernah Bongkar Transaksi Janggal Kemenkeu Rp 349 T https://t.co/TpEhCX1S15 #TempoBisnis";0;2;0;2;in;18129942;1714779955618578611;tempodotco;https://twitter.com/tempodotco/status/1714779955618578611
Wed Oct 18 23:06:10 +0000 2023;1714779936727412816;"@Melihat_Indo Kagett banget dengan pasangan ini, Ganjar Mahfud emang paling terbaik ORANG BAIK PILIH ORANG BAIK";0;0;0;0;in;1700440394037923840;1714572486518682106;jawhed1050882;https://twitter.com/jawhed1050882/status/1714779936727412816
Wed Oct 18 23:06:07 +0000 2023;1714779924157051054;"@Beritasatu Satu dukungan untuk ganjar mahfud";0;0;0;0;in;1707037172220739584;1714504634151436506;Laylaactk;https://twitter.com/Laylaactk/status/1714779924157051054
Wed Oct 18 23:05:54 +0000 2023;1714779870662893977;"@Hasbil_Lbs dah lah tutup akun aja kalian berdua skrang.  yang menang Ganjar-Mahfud 👍";0;2;0;0;in;3145591032;1714733057499164810;rahmann354;https://twitter.com/rahmann354/status/1714779870662893977
Wed Oct 18 23:05:33 +0000 2023;1714779781206819323;"@ganjarpranowo @mohmahfudmd Dengan Ganjar Mahfud bismilah pasti bisa bawa perubrn yg nyata";0;0;0;0;in;1656925328139497474;1714509571082060219;frizafaiza24;https://twitter.com/frizafaiza24/status/1714779781206819323
Wed Oct 18 23:05:28 +0000 2023;1714779757894938786;"@Prihati_utami Bakal sat set sih kalo pasangan ini yang terpilih , Ganjar Mahfud terbaik untuk Indonesia";0;0;0;0;in;1684535047041556481;1714485072139805048;dandi_arsyad091;https://twitter.com/dandi_arsyad091/status/1714779757894938786
Wed Oct 18 23:05:26 +0000 2023;1714779749510504794;"@kiki_daliyo @ganjarpranowo @mohmahfudmd Insyaallah Ganjar Mahfud  adalah pemimpin yang paling pas untuk Indonesia lebih Maju dan sejahtera";0;0;0;0;in;1692016043005538304;1714484061396447629;riyomarin;https://twitter.com/riyomarin/status/1714779749510504794
Wed Oct 18 23:05:19 +0000 2023;1714779722419450350;"@asumsico Gw males ama ganjarnya, tp gw seneng ama pak mahfud md. Sial emngg";0;0;0;1;in;409850510;1714487186299744539;Andreasinurat;https://twitter.com/Andreasinurat/status/1714779722419450350
Wed Oct 18 23:05:05 +0000 2023;1714779665171374232;"Gaskeun gaspol Ganjar Mahfud";0;0;0;1;in;1655369966454206464;1714779665171374232;arrysa20;https://twitter.com/arrysa20/status/1714779665171374232
Wed Oct 18 23:04:56 +0000 2023;1714779626562789399;"@EricRicaldo Belum tentu ganjar dan mahfud unggul meski gibran tidak keluar dan belum tentu gibran hrs turun kontes cukup test ombak dan terbukti tsunaminya nyampe ke gunung krn para elit dan pendukung setia jkw bs berbalik menghujat dan memfitnah beliau";0;1;0;0;in;1603648155761135617;1714493866534154732;ferrybckup21;https://twitter.com/ferrybckup21/status/1714779626562789399
Wed Oct 18 23:04:55 +0000 2023;1714779619608731953;"@Melihat_Indo Selalu kawal dan support terus pasangan Ganjar Mahfud nih, Joss ORANG BAIK PILIH ORANG BAIK";0;0;0;0;in;1700438412858363904;1714572486518682106;digieebos;https://twitter.com/digieebos/status/1714779619608731953
Wed Oct 18 23:04:26 +0000 2023;1714779500603723873;"@ganjarpranowo Aku siap mengawal ganjar mahfud";0;0;0;0;in;1601424604123185152;1714618386716737643;DionWardi;https://twitter.com/DionWardi/status/1714779500603723873
Wed Oct 18 23:04:23 +0000 2023;1714779488222076972;"@ngopibareng_id pak semangattt , kami selalu dukung dan siap menangkan Ganjar Mahfud🔥";0;0;0;0;in;1517020920661311489;1714575191005909476;Widyaainis;https://twitter.com/Widyaainis/status/1714779488222076972
Wed Oct 18 23:04:23 +0000 2023;1714779485680353675;"Ayo menang kan satu putaran Ganjar mahfud";0;0;0;1;in;1671413804343885824;1714779485680353675;Kingpower530485;https://twitter.com/Kingpower530485/status/1714779485680353675
Wed Oct 18 23:04:23 +0000 2023;1714779485642674272;"@jpnncom Mugi-mugi sukses, Pak Ganjar Pak Mahfud! Wonten doa saka wong Jawa.";0;0;0;0;in;1707203324838313985;1714636484928753718;okyherman5;https://twitter.com/okyherman5/status/1714779485642674272
Wed Oct 18 23:04:20 +0000 2023;1714779475328868457;"@Melihat_Indo Ganjar Mahfud menjadi pasangan yang sama banyak prestasi jadi ORANG BAIK PILIH ORANG BAIK";0;0;0;0;in;1690260552105517056;1714572486518682106;PhilippaRo40148;https://twitter.com/PhilippaRo40148/status/1714779475328868457
Wed Oct 18 23:04:19 +0000 2023;1714779470610002109;"Ganjar-mahfud tegak lurus konstitusi https://t.co/YS7BDBH2iY";0;0;0;0;in;2348415536;1714779470610002109;Erickabeterbo;https://twitter.com/Erickabeterbo/status/1714779470610002109
Wed Oct 18 23:04:11 +0000 2023;1714779437202649502;"Ganjar-mahfud tegak lurus konstitusi https://t.co/YdanZ7JD2j";0;0;0;0;in;2348415536;1714779437202649502;Erickabeterbo;https://twitter.com/Erickabeterbo/status/1714779437202649502
Wed Oct 18 23:03:51 +0000 2023;1714779351647219806;"@Aryprasetyo85 @islah_bahrawi @mohmahfudmd @ganjarpranowo @GunRomli @Marbot_Udien @Miduk17 @al_lasan @Anak__Ogi @007koteka @03__nakula @seruanhl @Riska_ibusaLsa Setuju banget, bener pilihan yg tepat p ganjar dan p mahfud🔥🔥🔥";0;0;0;0;in;946840730;1714619400974901390;Choeto1;https://twitter.com/Choeto1/status/1714779351647219806
Wed Oct 18 23:03:50 +0000 2023;1714779350636413244;"Kelo orang baik itu jelas beda. Cara penyampaiannya pun sangat detail. Pak Mahfud bukan hanya cerdas tapi pengalaman beliau itu sangat luar biasa Mampu memahami kebutuhan masyarakat saat ini Ganjar-Mahfud https://t.co/IrGGNDKOff";1;3;24;55;in;1375108158633336837;1714779350636413244;p4rwaty_rizky;https://twitter.com/p4rwaty_rizky/status/1714779350636413244
Wed Oct 18 23:03:50 +0000 2023;1714779347922624863;"@tvOneNews Pak Mahfud, semoga sukses dan sehat selalu. Anda adalah harapan kami untuk Indonesia yang lebih baik.";0;0;0;0;in;1707203324838313985;1714541477316162020;okyherman5;https://twitter.com/okyherman5/status/1714779347922624863
Wed Oct 18 23:03:45 +0000 2023;1714779326179414383;"Indonesia butuh sosok pemimpin dengan karakter membumi, berdedikasi tinggi, serta menjaga marwah Indonesia sebaik mungkin. Dan semua itu sudah terbentuk dalam diri pasangan Ganjar Mahfud. https://t.co/syHa6tVaCa";0;0;0;0;in;1700638524570030080;1714779326179414383;fannyaadilla;https://twitter.com/fannyaadilla/status/1714779326179414383
Wed Oct 18 23:03:42 +0000 2023;1714779314162717133;"Anggota DPR : Ganjar mahfud figur nasionalis dan religius https://t.co/DbQcBXAvi9";0;0;0;0;in;2348415536;1714779314162717133;Erickabeterbo;https://twitter.com/Erickabeterbo/status/1714779314162717133
Wed Oct 18 23:03:24 +0000 2023;1714779239818633498;"Ketika kita berbicara tentang pemimpin yang memahami ORANG BAIK  PILIH ORANG BAIK, kita berbicara tentang Ganjar Mahfud. https://t.co/qFnDfG7AEy";0;0;0;0;in;1707037172220739584;1714779239818633498;Laylaactk;https://twitter.com/Laylaactk/status/1714779239818633498
Wed Oct 18 23:03:20 +0000 2023;1714779222680674502;"@Gus_Raharjo @ganjarpranowo @mohmahfudmd Indonesia itu butuh GANJAR MAHFUD karena beliau ini sangat banyak prestasi jadi ORANG BAIK PILIH ORANG BAIK";0;0;0;0;in;1690260552105517056;1714565020351398289;PhilippaRo40148;https://twitter.com/PhilippaRo40148/status/1714779222680674502
Wed Oct 18 23:03:17 +0000 2023;1714779210118844746;"Anies Baswedan Kirim Pesan ke Mahfud MD Usai Jadi Cawapres Ganjar Pranowo, Apa Isinya? https://t.co/JOjcBVrTfd";0;0;1;1;in;58880688;1714779210118844746;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1714779210118844746
Wed Oct 18 23:03:15 +0000 2023;1714779203068170302;"Ganjar Pranowo-Mahfud MD dan Anies Baswedan-Cak Imin Kompak Daftar ke KPU Hari Ini 19 Oktober 2023 https://t.co/NNWW5y4biN";0;0;0;0;in;58880688;1714779203068170302;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1714779203068170302
Wed Oct 18 23:03:12 +0000 2023;1714779191324103019;"Bakal calon presiden (bacapres) dan bakal calon wakil presiden (bacawapres) yang diusung PDIP dan tiga parpol lainnya yaitu Ganjar Pranowo-Mahfud MD b... https://t.co/hRhOtEA1l4";0;0;0;0;in;46693036;1714779191324103019;inilahdotcom;https://twitter.com/inilahdotcom/status/1714779191324103019
Wed Oct 18 23:02:55 +0000 2023;1714779118934618129;"@Miduk17 Nnt @gibran_tweet g kemana2 lu puji setinggi langit bersama Jokowi. Bijak smua Sudah ahh.. Lu pada udh ada calon ideal. Gw jg salah satu pndukung pah Mahfud. Dan berharap org2 kyk klian kampanye aj yg baik2 tanpa nyerang sana sini. Lama2 org2 yg blm pnya pilihan gmw plih Ganjar.";0;1;0;2;in;1538415270;1714619053942423849;andik_kelana;https://twitter.com/andik_kelana/status/1714779118934618129
Wed Oct 18 23:02:47 +0000 2023;1714779085690503638;"@KATADATAcoid Ganjar Mahfud capres dan cawapres hebat";0;0;0;1;in;1616020495119568896;1714486987967856793;cysa_ayara;https://twitter.com/cysa_ayara/status/1714779085690503638
Wed Oct 18 23:02:34 +0000 2023;1714779028585058367;"@ch_chotimah2 @ganjarpranowo @mohmahfudmd @03__nakula @007koteka @aan_muba @Aryprasetyo85 @seruanhl @Urrangawak @Miduk17 pak ganjar mahfud mudah2an selalu memberikan yang terbaik untuk indonesia";0;0;0;0;in;1707203324838313985;1714491719260209347;okyherman5;https://twitter.com/okyherman5/status/1714779028585058367
Wed Oct 18 23:02:33 +0000 2023;1714779027221996009;"Prof Mahfud , Menurut Sahabatnya..                @ariesujito_UGM  #GanjarMahfud2024 #RelawanMMD #Jokowi https://t.co/7KPBqNuWg4";0;0;8;8;in;1478356579384659968;1714779027221996009;Cakrawala_nst;https://twitter.com/Cakrawala_nst/status/1714779027221996009
Wed Oct 18 23:02:25 +0000 2023;1714778990995726816;"@ganjarpranowo pak semangattt , kami selalu dukung dan siap menangkan Ganjar Mahfud🔥";0;0;0;0;in;1517020920661311489;1714618386716737643;Widyaainis;https://twitter.com/Widyaainis/status/1714778990995726816
Wed Oct 18 23:02:23 +0000 2023;1714778985216069767;"@Prihati_utami Ya bersama kita maju untuk Indonesia, Ganjar Mahfud  yang terbaik";0;0;0;0;in;1615973490225729538;1714485072139805048;FareehaJunaina;https://twitter.com/FareehaJunaina/status/1714778985216069767
